file,status,phase,owner,note
skia/handles/static_sk_android_codec-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_android_codec.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_android_codec.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_b_box_hierarchy-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_b_box_hierarchy.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_b_box_hierarchy.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_blend_mode-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_blend_mode.cpp,done,phase1,codex,step1+step3: handle_table 適用 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_blend_mode.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_blender-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_blender.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_blender.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_canvas-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_canvas.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_canvas.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_capabilities-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_capabilities.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_capabilities.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_codec-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_codec.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_codec.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_codecs_decoder-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_codecs_decoder.cpp,done,phase1,codex,step1+step3: handle_table 適用 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_codecs_decoder.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_color-internal.h,na,phase1,codex,実装/API 未定義またはコメントアウトのみのため Phase 1 安全化対象外
skia/handles/static_sk_color.cpp,done,phase1,codex,step3: set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_color.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_color_4f-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_color_4f.cpp,done,phase1,codex,step1+step3: handle_table 適用 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_color_4f.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_color_filter-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_color_filter.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_color_filter.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_color_info-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_color_info.cpp,done,phase1,codex,step1+step3: handle_table 適用 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_color_info.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_color_matrix-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_color_matrix.cpp,done,phase1,codex,step1+step3: handle_table 適用 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_color_matrix.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_color_space-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_color_space.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_color_space.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_color_table-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_color_table.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_color_table.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_contour_measure-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_contour_measure.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_contour_measure.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_cubic_resampler-internal.h,done,phase1,codex,Phase 1 実装は対応 .cpp の handle_table 化と無効キー処理で完了。内部宣言は現行実装と整合済み
skia/handles/static_sk_cubic_resampler.cpp,done,phase1,codex,step1+step3: handle_table 適用 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_cubic_resampler.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_data-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_data.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_data.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_data_table-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_data_table.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_data_table.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_document-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
skia/handles/static_sk_document.cpp,done,phase1,codex,step1+step2+step3: handle_table 適用 + get_entity 分離 + set/get_ptr/delete 無効キー統一
skia/handles/static_sk_document.h,na,phase1,codex,公開宣言ヘッダのみ。Phase 1 の handle_table/get_entity/無効キー安全化は .cpp と *-internal.h で追跡する
skia/handles/static_sk_drawable-internal.h,done,phase1,codex,step2+step3: get_entity 分離 + set/get_ptr/delete の無効キー処理を統一（値型含む）
