file,line,symbol,proposed_name,status,owner,note
skia/capi/sk_android_codec.h,48,SkAndroidCodec_getAndroidPixels_2,SkAndroidCodec_getAndroidPixels_withoutOptions,done,codex,renamed on 2026-02-16
skia/capi/sk_b_box_hierarchy.h,20,SkBBoxHierarchy_insert_2,SkBBoxHierarchy_insert_withMetadata,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,42,SkBitmap_new_2,SkBitmap_new_copy,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,46,SkBitmap_allocPixels_2,SkBitmap_allocPixels_withAllocator,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,47,SkBitmap_allocPixels_3,SkBitmap_allocPixels_withInfo,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,48,SkBitmap_allocPixels_4,SkBitmap_allocPixels_withInfoRowBytes,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,61,SkBitmap_erase_2,SkBitmap_eraseColor4fInArea,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,65,SkBitmap_eraseColor_2,SkBitmap_eraseColor4f,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,67,SkBitmap_extractAlpha_2,SkBitmap_extractAlpha_withPaintAllocatorOffset,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,68,SkBitmap_extractAlpha_3,SkBitmap_extractAlpha_withPaintOffset,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,86,SkBitmap_installPixels_2,SkBitmap_installPixels_withReleaseProc,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,87,SkBitmap_installPixels_3,SkBitmap_installPixels_withPixmap,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,92,SkBitmap_makeShader_2,SkBitmap_makeShader_withOptionalLocalMatrix,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,93,SkBitmap_makeShader_3,SkBitmap_makeShader_withTileModesOptionalLocalMatrix,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,94,SkBitmap_makeShader_4,SkBitmap_makeShader_withTileModesLocalMatrix,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,101,SkBitmap_readPixels_2,SkBitmap_readPixels_withPixmap,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,102,SkBitmap_readPixels_3,SkBitmap_readPixels_withPixmapAt,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,117,SkBitmap_tryAllocPixels_2,SkBitmap_tryAllocPixels_withAllocator,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,118,SkBitmap_tryAllocPixels_3,SkBitmap_tryAllocPixels_withInfo,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,119,SkBitmap_tryAllocPixels_4,SkBitmap_tryAllocPixels_withInfoRowBytes,done,codex,renamed on 2026-02-16
skia/capi/sk_bitmap.h,123,SkBitmap_writePixels_2,SkBitmap_writePixels_withDstOffset,done,codex,renamed on 2026-02-16
skia/capi/sk_blender.h,32,SkBlender_serialize_2,SkBlender_serializeToMemory,done,codex,renamed on 2026-02-16
skia/capi/sk_bmp_decoder.h,23,SkBmpDecoder_Decode_2,SkBmpDecoder_DecodeFromDataHandle,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,42,SkCanvas_new_2,SkCanvas_newWithSizeProps,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,43,SkCanvas_new_3,SkCanvas_newFromBitmap,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,44,SkCanvas_new_4,SkCanvas_newFromBitmapWithProps,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,50,SkCanvas_clear_2,SkCanvas_clearColor,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,53,SkCanvas_clipPath_2,SkCanvas_clipPathWithOp,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,54,SkCanvas_clipPath_3,SkCanvas_clipPathWithOpAA,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,56,SkCanvas_clipRect_2,SkCanvas_clipRectWithOp,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,57,SkCanvas_clipRect_3,SkCanvas_clipRectWithOpAA,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,60,SkCanvas_clipRRect_2,SkCanvas_clipRRectWithOp,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,61,SkCanvas_clipRRect_3,SkCanvas_clipRRectWithOpAA,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,64,SkCanvas_concat_2,SkCanvas_concatMatrix,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,67,SkCanvas_drawAnnotation_2,SkCanvas_drawAnnotationWithDataPtr,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,71,SkCanvas_drawCircle_2,SkCanvas_drawCircleAt,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,73,SkCanvas_drawColor_2,SkCanvas_drawColorU32,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,75,SkCanvas_drawDrawable_2,SkCanvas_drawDrawableAt,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,78,SkCanvas_drawGlyphs_2,SkCanvas_drawGlyphsAtPositions,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,79,SkCanvas_drawGlyphs_3,SkCanvas_drawGlyphsWithXforms,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,81,SkCanvas_drawImage_2,SkCanvas_drawImageHandleWithSampling,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,82,SkCanvas_drawImage_3,SkCanvas_drawImagePtrWithSampling,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,83,SkCanvas_drawImage_4,SkCanvas_drawImagePtr,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,85,SkCanvas_drawImageLattice_2,SkCanvas_drawImageLatticeWithFilter,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,88,SkCanvas_drawImageRect_2,SkCanvas_drawImageRectHandleWithSrcDst,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,89,SkCanvas_drawImageRect_3,SkCanvas_drawImageRectPtr,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,90,SkCanvas_drawImageRect_4,SkCanvas_drawImageRectPtrWithSrcDst,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,93,SkCanvas_drawLine_2,SkCanvas_drawLineXY,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,100,SkCanvas_drawPicture_2,SkCanvas_drawPictureHandleWithMatrixPaint,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,101,SkCanvas_drawPicture_3,SkCanvas_drawPicturePtr,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,102,SkCanvas_drawPicture_4,SkCanvas_drawPicturePtrWithMatrixPaint,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,104,SkCanvas_drawPoint_2,SkCanvas_drawPointXY,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,112,SkCanvas_drawString_2,SkCanvas_drawStringObject,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,114,SkCanvas_drawTextBlob_2,SkCanvas_drawTextBlobPtr,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,116,SkCanvas_drawVertices_2,SkCanvas_drawVerticesPtr,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,119,SkCanvas_experimental_DrawEdgeAAQuad_2,SkCanvas_experimental_DrawEdgeAAQuadU32Color,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,123,SkCanvas_getDeviceClipBounds_2,SkCanvas_getDeviceClipBoundsInto,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,125,SkCanvas_getLocalClipBounds_2,SkCanvas_getLocalClipBoundsInto,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,140,SkCanvas_quickReject_2,SkCanvas_quickRejectRect,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,142,SkCanvas_readPixels_2,SkCanvas_readPixelsWithImageInfo,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,143,SkCanvas_readPixels_3,SkCanvas_readPixelsWithPixmap,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,150,SkCanvas_rotate_2,SkCanvas_rotateAround,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,153,SkCanvas_saveLayer_2,SkCanvas_saveLayerWithBoundsPaintRef,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,154,SkCanvas_saveLayer_3,SkCanvas_saveLayerWithBoundsPaintPtr,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,159,SkCanvas_setMatrix_2,SkCanvas_setMatrix3x3,done,codex,renamed on 2026-02-16
skia/capi/sk_canvas.h,164,SkCanvas_writePixels_2,SkCanvas_writePixelsWithImageInfo,done,codex,renamed on 2026-02-16
skia/capi/sk_codec.h,47,SkCodec_getPixels_2,SkCodec_getPixelsWithoutOptions,done,codex,renamed on 2026-02-16
skia/capi/sk_codec.h,48,SkCodec_getPixels_3,SkCodec_getPixelsFromPixmap,done,codex,renamed on 2026-02-16
skia/capi/sk_codec.h,50,SkCodec_getImage_2,SkCodec_getImageDefault,done,codex,renamed on 2026-02-16
skia/capi/sk_codec.h,54,SkCodec_startIncrementalDecode_2,SkCodec_startIncrementalDecodeWithoutOptions,done,codex,renamed on 2026-02-16
skia/capi/sk_codec.h,57,SkCodec_startScanlineDecode_2,SkCodec_startScanlineDecodeWithoutOptions,done,codex,renamed on 2026-02-16
skia/capi/sk_codec.h,65,SkCodec_getFrameInfo_2,SkCodec_getFrameInfoList,done,codex,renamed on 2026-02-16
