area,header,class,method,method_line,method_status,matched_capi,triage,priority,residual_kind,signature,generator_action,note
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,initDirect3D,21,na,GrBackendSemaphore_backend|GrBackendSemaphore_delete|GrBackendSemaphore_initMetal|GrBackendSemaphore_initVulkan|GrBackendSemaphore_isInitialized|GrBackendSemaphore_mtlSemaphore|GrBackendSemaphore_mtlValue|GrBackendSemaphore_new,na,P3,tracked,void initDirect3D(const GrD3DFenceInfo& info) { fBackend = GrBackendApi::kDirect3D; this->assignD3DFenceInfo(info); fIsInitialized = true; },Phase 11D GPU platform override,Direct3D backend is not enabled in the current Reskia build/platform plan; keep out of missing until a D3D target exists
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,getD3DFenceInfo,21,na,GrBackendSemaphore_backend|GrBackendSemaphore_delete|GrBackendSemaphore_initMetal|GrBackendSemaphore_initVulkan|GrBackendSemaphore_isInitialized|GrBackendSemaphore_mtlSemaphore|GrBackendSemaphore_mtlValue|GrBackendSemaphore_new,na,P3,tracked,bool getD3DFenceInfo(GrD3DFenceInfo* outInfo) const;,Phase 11D GPU platform override,Direct3D backend is not enabled in the current Reskia build/platform plan; keep out of missing until a D3D target exists
include/gpu,include/gpu/GrBackendSurface.h,GrBackendFormat,MakeDxgi,37,na,GrBackendFormat_MakeMock|GrBackendFormat_MakeMtl|GrBackendFormat_asMockColorType|GrBackendFormat_asMockCompressionType|GrBackendFormat_asMtlFormat|GrBackendFormat_backend|GrBackendFormat_channelMask|GrBackendFormat_delete,na,P3,tracked,static GrBackendFormat MakeDxgi(DXGI_FORMAT format) { return GrBackendFormat(format); },Phase 11D GPU platform override,DXGI/Direct3D format helper is platform-specific and unsupported by current Reskia build targets
include/gpu,include/gpu/GrBackendSurface.h,GrBackendFormat,asDxgiFormat,37,na,GrBackendFormat_MakeMock|GrBackendFormat_MakeMtl|GrBackendFormat_asMockColorType|GrBackendFormat_asMockCompressionType|GrBackendFormat_asMtlFormat|GrBackendFormat_backend|GrBackendFormat_channelMask|GrBackendFormat_delete,na,P3,tracked,bool asDxgiFormat(DXGI_FORMAT*) const;,Phase 11D GPU platform override,DXGI/Direct3D format helper is platform-specific and unsupported by current Reskia build targets
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,getD3DTextureResourceInfo,142,na,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_dimensions|GrBackendTexture_getBackendFormat|GrBackendTexture_getLabel|GrBackendTexture_getMockTextureInfo|GrBackendTexture_getMtlTextureInfo,na,P3,tracked,bool getD3DTextureResourceInfo(GrD3DTextureResourceInfo*) const;,Phase 11D GPU platform override,Direct3D backend texture state is platform-specific and unsupported by current Reskia build targets
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,setD3DResourceState,142,na,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_dimensions|GrBackendTexture_getBackendFormat|GrBackendTexture_getLabel|GrBackendTexture_getMockTextureInfo|GrBackendTexture_getMtlTextureInfo,na,P3,tracked,void setD3DResourceState(GrD3DResourceStateEnum);,Phase 11D GPU platform override,Direct3D backend texture state is platform-specific and unsupported by current Reskia build targets
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,TestingOnly_Equals,142,false_positive,GrBackendTexture_asHandle|GrBackendTexture_backend|GrBackendTexture_delete|GrBackendTexture_dimensions|GrBackendTexture_getBackendFormat|GrBackendTexture_getLabel|GrBackendTexture_getMockTextureInfo|GrBackendTexture_getMtlTextureInfo,false_positive,P0,coverage_polish,"static bool TestingOnly_Equals(const GrBackendTexture&, const GrBackendTexture&);",Phase 11D GPU testing override,GR_TEST_UTILS-only helper should not be part of stable C ABI coverage
include/gpu,include/gpu/GrBackendSurface.h,GrBackendRenderTarget,getD3DTextureResourceInfo,289,na,GrBackendRenderTarget_asHandle|GrBackendRenderTarget_backend|GrBackendRenderTarget_delete|GrBackendRenderTarget_dimensions|GrBackendRenderTarget_getBackendFormat|GrBackendRenderTarget_getMockRenderTargetInfo|GrBackendRenderTarget_getMtlTextureInfo|GrBackendRenderTarget_height,na,P3,tracked,bool getD3DTextureResourceInfo(GrD3DTextureResourceInfo*) const;,Phase 11D GPU platform override,Direct3D backend render target state is platform-specific and unsupported by current Reskia build targets
include/gpu,include/gpu/GrBackendSurface.h,GrBackendRenderTarget,setD3DResourceState,289,na,GrBackendRenderTarget_asHandle|GrBackendRenderTarget_backend|GrBackendRenderTarget_delete|GrBackendRenderTarget_dimensions|GrBackendRenderTarget_getBackendFormat|GrBackendRenderTarget_getMockRenderTargetInfo|GrBackendRenderTarget_getMtlTextureInfo|GrBackendRenderTarget_height,na,P3,tracked,void setD3DResourceState(GrD3DResourceStateEnum);,Phase 11D GPU platform override,Direct3D backend render target state is platform-specific and unsupported by current Reskia build targets
include/gpu,include/gpu/GrBackendSurface.h,GrBackendRenderTarget,TestingOnly_Equals,289,false_positive,GrBackendRenderTarget_asHandle|GrBackendRenderTarget_backend|GrBackendRenderTarget_delete|GrBackendRenderTarget_dimensions|GrBackendRenderTarget_getBackendFormat|GrBackendRenderTarget_getMockRenderTargetInfo|GrBackendRenderTarget_getMtlTextureInfo|GrBackendRenderTarget_height,false_positive,P0,coverage_polish,"static bool TestingOnly_Equals(const GrBackendRenderTarget&, const GrBackendRenderTarget&);",Phase 11D GPU testing override,GR_TEST_UTILS-only helper should not be part of stable C ABI coverage
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeDirect3D,54,na,GrDirectContext_MakeMetal|GrDirectContext_MakeMock|GrDirectContext_MakeVulkan|GrDirectContext_abandonContext|GrDirectContext_abandoned|GrDirectContext_checkAsyncWorkCompletion|GrDirectContext_createBackendTexture|GrDirectContext_createBackendTextureFromPixmap,na,P3,tracked,"static sk_sp<GrDirectContext> MakeDirect3D(const GrD3DBackendContext&, const GrContextOptions&);",Phase 11D GPU platform override,Direct3D context factory is unsupported by current Reskia build targets
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeDirect3D,54,na,GrDirectContext_MakeMetal|GrDirectContext_MakeMock|GrDirectContext_MakeVulkan|GrDirectContext_abandonContext|GrDirectContext_abandoned|GrDirectContext_checkAsyncWorkCompletion|GrDirectContext_createBackendTexture|GrDirectContext_createBackendTextureFromPixmap,na,P3,tracked,static sk_sp<GrDirectContext> MakeDirect3D(const GrD3DBackendContext&);,Phase 11D GPU platform override,Direct3D context factory is unsupported by current Reskia build targets
