area,header,class,method,method_line,method_status,matched_capi,triage,priority,residual_kind,signature,generator_action,note
modules/sksg,modules/sksg/include/SkSGGeometryEffect.h,TrimEffect,onRevalidateEffect,35,false_positive,SkSG_TrimEffect_Make,false_positive,P0,coverage_polish,SkPath onRevalidateEffect(const sk_sp<GeometryNode>&) override;,Phase 12 SkSG protected hook override,"Protected/internal SkSG virtual hook; public behavior is exposed through factory, attribute, render, or value wrappers rather than direct C ABI binding"
modules/sksg,modules/sksg/include/SkSGGeometryEffect.h,DashEffect,onRevalidateEffect,82,false_positive,SkSG_DashEffect_Make,false_positive,P0,coverage_polish,SkPath onRevalidateEffect(const sk_sp<GeometryNode>&) override;,Phase 12 SkSG protected hook override,"Protected/internal SkSG virtual hook; public behavior is exposed through factory, attribute, render, or value wrappers rather than direct C ABI binding"
modules/sksg,modules/sksg/include/SkSGGeometryEffect.h,RoundEffect,onRevalidateEffect,103,false_positive,SkSG_RoundEffect_Make,false_positive,P0,coverage_polish,SkPath onRevalidateEffect(const sk_sp<GeometryNode>&) override;,Phase 12 SkSG protected hook override,"Protected/internal SkSG virtual hook; public behavior is exposed through factory, attribute, render, or value wrappers rather than direct C ABI binding"
modules/sksg,modules/sksg/include/SkSGGeometryEffect.h,OffsetEffect,onRevalidateEffect,122,false_positive,SkSG_OffsetEffect_Make,false_positive,P0,coverage_polish,SkPath onRevalidateEffect(const sk_sp<GeometryNode>&) override;,Phase 12 SkSG protected hook override,"Protected/internal SkSG virtual hook; public behavior is exposed through factory, attribute, render, or value wrappers rather than direct C ABI binding"
modules/sksg,modules/sksg/include/SkSGGradient.h,Gradient,onMakeShader,23,false_positive,SkGradientShader_MakeLinear|SkGradientShader_MakeLinear4fWithFlags|SkGradientShader_MakeLinear4fWithInterpolation|SkGradientShader_MakeRadial|SkGradientShader_MakeRadial4fWithFlags|SkGradientShader_MakeRadial4fWithInterpolation|SkGradientShader_MakeSweep|SkGradientShader_MakeSweep4fWithFlags,false_positive,P0,coverage_polish,"virtual sk_sp<SkShader> onMakeShader(const std::vector<SkColor4f>& colors, const std::vector<SkScalar >& positions) const = 0;",Phase 12 SkSG protected hook override,"Protected/internal SkSG virtual hook; public behavior is exposed through factory, attribute, render, or value wrappers rather than direct C ABI binding"
modules/sksg,modules/sksg/include/SkSGImage.h,Image,onRender,12,false_positive,FileResourceProvider_loadImageAsset|GrRecordingContext_colorTypeSupportedAsImage|ImageAsset_getFrame|ImageAsset_getFrameData|ImageAsset_isMultiFrame|ImageAsset_ref|ImageAsset_release|ImageAsset_unref,false_positive,P0,coverage_polish,"void onRender(SkCanvas*, const RenderContext*) const override;",Phase 12 SkSG protected hook override,"Protected/internal SkSG virtual hook; public behavior is exposed through factory, attribute, render, or value wrappers rather than direct C ABI binding"
modules/sksg,modules/sksg/include/SkSGImage.h,Image,onNodeAt,12,false_positive,FileResourceProvider_loadImageAsset|GrRecordingContext_colorTypeSupportedAsImage|ImageAsset_getFrame|ImageAsset_getFrameData|ImageAsset_isMultiFrame|ImageAsset_ref|ImageAsset_release|ImageAsset_unref,false_positive,P0,coverage_polish,const RenderNode* onNodeAt(const SkPoint&) const override;,Phase 12 SkSG protected hook override,"Protected/internal SkSG virtual hook; public behavior is exposed through factory, attribute, render, or value wrappers rather than direct C ABI binding"
modules/sksg,modules/sksg/include/SkSGImage.h,Image,onRevalidate,12,false_positive,FileResourceProvider_loadImageAsset|GrRecordingContext_colorTypeSupportedAsImage|ImageAsset_getFrame|ImageAsset_getFrameData|ImageAsset_isMultiFrame|ImageAsset_ref|ImageAsset_release|ImageAsset_unref,false_positive,P0,coverage_polish,"SkRect onRevalidate(InvalidationController*, const SkMatrix&) override;",Phase 12 SkSG protected hook override,"Protected/internal SkSG virtual hook; public behavior is exposed through factory, attribute, render, or value wrappers rather than direct C ABI binding"
modules/sksg,modules/sksg/include/SkSGOpacityEffect.h,OpacityEffect,onRender,9,false_positive,SkSG_OpacityEffect_Make|SkSG_OpacityEffect_getOpacity|SkSG_OpacityEffect_setOpacity,false_positive,P0,coverage_polish,"void onRender(SkCanvas*, const RenderContext*) const override;",Phase 12 SkSG protected hook override,"Protected/internal SkSG virtual hook; public behavior is exposed through factory, attribute, render, or value wrappers rather than direct C ABI binding"
modules/sksg,modules/sksg/include/SkSGOpacityEffect.h,OpacityEffect,onNodeAt,9,false_positive,SkSG_OpacityEffect_Make|SkSG_OpacityEffect_getOpacity|SkSG_OpacityEffect_setOpacity,false_positive,P0,coverage_polish,const RenderNode* onNodeAt(const SkPoint&) const override;,Phase 12 SkSG protected hook override,"Protected/internal SkSG virtual hook; public behavior is exposed through factory, attribute, render, or value wrappers rather than direct C ABI binding"
modules/sksg,modules/sksg/include/SkSGOpacityEffect.h,OpacityEffect,onRevalidate,9,false_positive,SkSG_OpacityEffect_Make|SkSG_OpacityEffect_getOpacity|SkSG_OpacityEffect_setOpacity,false_positive,P0,coverage_polish,"SkRect onRevalidate(InvalidationController*, const SkMatrix&) override;",Phase 12 SkSG protected hook override,"Protected/internal SkSG virtual hook; public behavior is exposed through factory, attribute, render, or value wrappers rather than direct C ABI binding"
modules/sksg,modules/sksg/include/SkSGPaint.h,PaintNode,onApplyToPaint,17,false_positive,SkSG_PaintNode_makePaint|SkSG_PaintNode_ref|SkSG_PaintNode_release|SkSG_PaintNode_unref,false_positive,P0,coverage_polish,virtual void onApplyToPaint(SkPaint*) const = 0;,Phase 12 SkSG protected hook override,"Protected/internal SkSG virtual hook; public behavior is exposed through factory, attribute, render, or value wrappers rather than direct C ABI binding"
