area,header,class,method,method_line,method_status,matched_capi,triage,priority,residual_kind,signature,generator_action,note
modules/skparagraph,modules/skparagraph/include/Metrics.h,StyleMetrics,StyleMetrics,9,missing,,na,P3,paragraph_internal_value,StyleMetrics(const TextStyle* style) : text_style(style) {},Phase 13 paragraph internal value override,"StyleMetrics is an internal paragraph layout/style record with no standalone user-facing lifecycle in current C ABI; public paragraph results are exposed through existing TextStyle, PlaceholderStyle, and LineMetrics wrappers"
modules/skparagraph,modules/skparagraph/include/Metrics.h,StyleMetrics,StyleMetrics,9,missing,,na,P3,paragraph_internal_value,"StyleMetrics(const TextStyle* style, SkFontMetrics& metrics) : text_style(style), font_metrics(metrics) {}",Phase 13 paragraph internal value override,"StyleMetrics is an internal paragraph layout/style record with no standalone user-facing lifecycle in current C ABI; public paragraph results are exposed through existing TextStyle, PlaceholderStyle, and LineMetrics wrappers"
modules/skparagraph,modules/skparagraph/include/Paragraph.h,Paragraph,Paragraph,18,missing,SkParagraph_Paragraph_delete|SkParagraph_Paragraph_didExceedMaxLines|SkParagraph_Paragraph_getAlphabeticBaseline|SkParagraph_Paragraph_getGlyphPositionAtCoordinate|SkParagraph_Paragraph_getHeight|SkParagraph_Paragraph_getIdeographicBaseline|SkParagraph_Paragraph_getLineMetrics|SkParagraph_Paragraph_getLongestLine,false_positive,P0,coverage_polish,"Paragraph(ParagraphStyle style, sk_sp<FontCollection> fonts);",Phase 13 paragraph constructor override,Paragraph is an abstract base construction surface; Reskia exposes concrete paragraphs through ParagraphBuilder_Build
modules/skparagraph,modules/skparagraph/include/ParagraphCache.h,ParagraphCache,updateParagraph,16,missing,SkParagraph_ParagraphCache_abandon|SkParagraph_ParagraphCache_count|SkParagraph_ParagraphCache_delete|SkParagraph_ParagraphCache_new|SkParagraph_ParagraphCache_printStatistics|SkParagraph_ParagraphCache_reset|SkParagraph_ParagraphCache_turnOn,na,P3,paragraph_internal,bool updateParagraph(ParagraphImpl* paragraph);,Phase 13 paragraph cache override,ParagraphCache method depends on ParagraphImpl* internals or callback checker state; keep out of direct C ABI until a cache/observer owner model exists
modules/skparagraph,modules/skparagraph/include/ParagraphCache.h,ParagraphCache,findParagraph,16,missing,SkParagraph_ParagraphCache_abandon|SkParagraph_ParagraphCache_count|SkParagraph_ParagraphCache_delete|SkParagraph_ParagraphCache_new|SkParagraph_ParagraphCache_printStatistics|SkParagraph_ParagraphCache_reset|SkParagraph_ParagraphCache_turnOn,na,P3,paragraph_internal,bool findParagraph(ParagraphImpl* paragraph);,Phase 13 paragraph cache override,ParagraphCache method depends on ParagraphImpl* internals or callback checker state; keep out of direct C ABI until a cache/observer owner model exists
modules/skparagraph,modules/skparagraph/include/ParagraphCache.h,ParagraphCache,setChecker,16,missing,SkParagraph_ParagraphCache_abandon|SkParagraph_ParagraphCache_count|SkParagraph_ParagraphCache_delete|SkParagraph_ParagraphCache_new|SkParagraph_ParagraphCache_printStatistics|SkParagraph_ParagraphCache_reset|SkParagraph_ParagraphCache_turnOn,na,P3,design_required,"void setChecker(std::function<void(ParagraphImpl* impl, const char*, bool)> checker) { fChecker = std::move(checker); }",Phase 13 paragraph cache override,ParagraphCache method depends on ParagraphImpl* internals or callback checker state; keep out of direct C ABI until a cache/observer owner model exists
modules/skparagraph,modules/skparagraph/include/ParagraphCache.h,ParagraphCache,isPossiblyTextEditing,16,missing,SkParagraph_ParagraphCache_abandon|SkParagraph_ParagraphCache_count|SkParagraph_ParagraphCache_delete|SkParagraph_ParagraphCache_new|SkParagraph_ParagraphCache_printStatistics|SkParagraph_ParagraphCache_reset|SkParagraph_ParagraphCache_turnOn,na,P3,paragraph_internal,bool isPossiblyTextEditing(ParagraphImpl* paragraph);,Phase 13 paragraph cache override,ParagraphCache method depends on ParagraphImpl* internals or callback checker state; keep out of direct C ABI until a cache/observer owner model exists
modules/skparagraph,modules/skparagraph/include/ParagraphPainter.h,ParagraphPainter,drawTextBlob,40,missing,,na,P3,callback_design_required,"virtual void drawTextBlob(const sk_sp<SkTextBlob>& blob, SkScalar x, SkScalar y, const SkPaintOrID& paint) = 0;",Phase 13 paragraph painter override,ParagraphPainter is a pure virtual painter callback surface; direct methods require a C callback/vtable owner design and belong with the Phase 14 callback/provider batch
modules/skparagraph,modules/skparagraph/include/ParagraphPainter.h,ParagraphPainter,drawTextShadow,40,missing,,na,P3,callback_design_required,"virtual void drawTextShadow(const sk_sp<SkTextBlob>& blob, SkScalar x, SkScalar y, SkColor color, SkScalar blurSigma) = 0;",Phase 13 paragraph painter override,ParagraphPainter is a pure virtual painter callback surface; direct methods require a C callback/vtable owner design and belong with the Phase 14 callback/provider batch
modules/skparagraph,modules/skparagraph/include/ParagraphPainter.h,ParagraphPainter,drawRect,40,missing,,na,P3,callback_design_required,"virtual void drawRect(const SkRect& rect, const SkPaintOrID& paint) = 0;",Phase 13 paragraph painter override,ParagraphPainter is a pure virtual painter callback surface; direct methods require a C callback/vtable owner design and belong with the Phase 14 callback/provider batch
