area,header,class,method,method_line,method_static,method_status,matched_capi,triage,priority,next_phase,residual_kind,signature,note
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,clipWithStencil,17,yes,missing,,na,P3,Phase 8,tracked,static bool clipWithStencil(SkCanvas* canvas);,
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,SafetyNetLog,17,yes,missing,,na,P3,Phase 8,tracked,static void SafetyNetLog(const char*);,
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,getSurfaceFromCanvas,17,yes,missing,,na,P3,Phase 8,tracked,static sk_sp<SkSurface> getSurfaceFromCanvas(SkCanvas* canvas);,
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,SaveBehind,17,yes,missing,,na,P3,Phase 8,tracked,"static int SaveBehind(SkCanvas* canvas, const SkRect* subset);",
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,ResetClip,17,yes,missing,,na,P3,Phase 8,tracked,static void ResetClip(SkCanvas* canvas);,
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,getBaseWrappedCanvas,17,yes,missing,,na,P3,Phase 8,tracked,static SkCanvas* getBaseWrappedCanvas(SkCanvas* canvas);,
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,ShaderAsALinearGradient,48,yes,missing,,na,P3,Phase 8,tracked,"static bool ShaderAsALinearGradient(SkShader* shader, LinearGradientInfo*);",
include/codec,include/codec/SkCodec.h,SkCodec,Register,275,yes,missing,SkCodec_MakeFromData|SkCodec_MakeFromStream|SkCodec_MinBufferedBytesNeeded|SkCodec_ResultToString|SkCodec_bounds|SkCodec_delete|SkCodec_dimensions|SkCodec_getEncodedFormat,real_gap,P3,Phase 9 callback/provider,callback_provider,"static void Register( bool (*peek)(const void*, size_t), std::unique_ptr<SkCodec> (*make)(std::unique_ptr<SkStream>, SkCodec::Result*));",
include/codec,include/codec/SkPngChunkReader.h,SkPngChunkReader,readChunk,8,no,missing,,real_gap,P3,Phase 9 callback/provider,callback_provider,"virtual bool readChunk(const char tag[], const void* data, size_t length) = 0;",
include/core,include/core/SkBBHFactory.h,SkBBHFactory,operator(),32,no,missing,,na,P3,Phase 9 callback/provider,tracked,virtual sk_sp<SkBBoxHierarchy> operator()() const = 0;,
include/core,include/core/SkBBHFactory.h,SkBBHFactory,~SkBBHFactory,32,no,missing,,na,P3,Phase 9 callback/provider,tracked,virtual ~SkBBHFactory() {},
include/core,include/core/SkDrawLooper.h,SkDrawLooper,makeContext,42,no,na,,na,P3,Phase 10,coverage_polish,virtual Context* makeContext(SkArenaAlloc*) const = 0;,legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,canComputeFastBounds,42,no,na,,na,P3,Phase 10,coverage_polish,bool canComputeFastBounds(const SkPaint& paint) const;,legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
