file,status,phase,owner,note
skia/binding/sk_alpha_type.cpp,todo,,,
skia/binding/sk_alpha_type.h,todo,,,
skia/binding/sk_android_codec.cpp,done,phase1,codex,"step2: unique_ptr 系 get_entity 呼び出しを take_entity へ明示化"
skia/binding/sk_android_codec.h,todo,,,
skia/binding/sk_annotation.cpp,todo,,,
skia/binding/sk_annotation.h,todo,,,
skia/binding/sk_auto_canvas_restore.cpp,todo,,,
skia/binding/sk_auto_canvas_restore.h,todo,,,
skia/binding/sk_avif_decoder.cpp,todo,,,
skia/binding/sk_avif_decoder.h,todo,,,
skia/binding/sk_b_box_hierarchy.cpp,todo,,,
skia/binding/sk_b_box_hierarchy.h,todo,,,
skia/binding/sk_bitmap.cpp,todo,,,
skia/binding/sk_bitmap.h,todo,,,
skia/binding/sk_blend_mode.cpp,todo,,,
skia/binding/sk_blend_mode.h,todo,,,
skia/binding/sk_blender.cpp,todo,,,
skia/binding/sk_blender.h,todo,,,
skia/binding/sk_blenders.cpp,todo,,,
skia/binding/sk_blenders.h,todo,,,
skia/binding/sk_bmp_decoder.cpp,done,phase1,codex,"step2: unique_ptr 系 get_entity 呼び出しを take_entity へ明示化"
skia/binding/sk_bmp_decoder.h,todo,,,
skia/binding/sk_canvas.cpp,todo,,,
skia/binding/sk_canvas.h,todo,,,
skia/binding/sk_capabilities.cpp,todo,,,
skia/binding/sk_capabilities.h,todo,,,
skia/binding/sk_codec.cpp,done,phase1,codex,"step2: unique_ptr 系 get_entity 呼び出しを take_entity へ明示化"
skia/binding/sk_codec.h,todo,,,
skia/binding/sk_codecs.cpp,todo,,,
skia/binding/sk_codecs.h,todo,,,
skia/binding/sk_color.cpp,todo,,,
skia/binding/sk_color.h,todo,,,
skia/binding/sk_color_4f.cpp,todo,,,
skia/binding/sk_color_4f.h,todo,,,
skia/binding/sk_color_filter.cpp,todo,,,
skia/binding/sk_color_filter.h,todo,,,
skia/binding/sk_color_filters.cpp,todo,,,
skia/binding/sk_color_filters.h,todo,,,
skia/binding/sk_color_info.cpp,todo,,,
skia/binding/sk_color_info.h,todo,,,
skia/binding/sk_color_matrix.cpp,todo,,,
skia/binding/sk_color_matrix.h,todo,,,
skia/binding/sk_color_matrix_filter.cpp,todo,,,
skia/binding/sk_color_matrix_filter.h,todo,,,
skia/binding/sk_color_priv.cpp,todo,,,
skia/binding/sk_color_priv.h,todo,,,
skia/binding/sk_color_space.cpp,todo,,,
skia/binding/sk_color_space.h,todo,,,
skia/binding/sk_color_space_primaries.cpp,todo,,,
skia/binding/sk_color_space_primaries.h,todo,,,
skia/binding/sk_color_table.cpp,todo,,,
skia/binding/sk_color_table.h,todo,,,
skia/binding/sk_contour_measure.cpp,todo,,,
skia/binding/sk_contour_measure.h,todo,,,
skia/binding/sk_contour_measure_iter.cpp,todo,,,
skia/binding/sk_contour_measure_iter.h,todo,,,
skia/binding/sk_corner_path_effect.cpp,todo,,,
skia/binding/sk_corner_path_effect.h,todo,,,
skia/binding/sk_cubic_map.cpp,todo,,,
skia/binding/sk_cubic_map.h,todo,,,
skia/binding/sk_cubic_resampler.cpp,todo,,,
skia/binding/sk_cubic_resampler.h,todo,,,
skia/binding/sk_dash_path_effect.cpp,todo,,,
skia/binding/sk_dash_path_effect.h,todo,,,
skia/binding/sk_data.cpp,todo,,,
skia/binding/sk_data.h,todo,,,
skia/binding/sk_data_table.cpp,todo,,,
skia/binding/sk_data_table.h,todo,,,
skia/binding/sk_discrete_path_effect.cpp,todo,,,
skia/binding/sk_discrete_path_effect.h,todo,,,
skia/binding/sk_document.cpp,todo,,,
skia/binding/sk_document.h,todo,,,
skia/binding/sk_drawable.cpp,todo,,,
skia/binding/sk_drawable.h,todo,,,
skia/binding/sk_dynamic_memory_w_stream.cpp,todo,,,
skia/binding/sk_dynamic_memory_w_stream.h,todo,,,
skia/binding/sk_encoded_origin.cpp,todo,,,
skia/binding/sk_encoded_origin.h,todo,,,
skia/binding/sk_encoder.cpp,todo,,,
skia/binding/sk_encoder.h,todo,,,
