file,status,phase,owner,note
skia/capi/sk_alpha_type.cpp,todo,P2,,
skia/capi/sk_alpha_type.h,todo,P2,,
skia/capi/sk_android_codec.cpp,done,P2,codex,"step4: SkAndroidCodec_getAndroidGainmap を reskia_status_t + typed out pointer 規約へ統一（phase1 step2 実施済み）"
skia/capi/sk_android_codec.h,done,P2,codex,"step4: SkAndroidCodec_getAndroidGainmap を reskia_status_t + typed out pointer 規約へ統一"
skia/capi/sk_annotation.cpp,todo,P2,,
skia/capi/sk_annotation.h,todo,P2,,
skia/capi/sk_auto_canvas_restore.cpp,done,P2,codex,"step5: non-ref型 delete 維持、delete static_cast を除去"
skia/capi/sk_auto_canvas_restore.h,done,P2,codex,"step5: non-ref型 delete 規約確認（実装側 cast 修正）"
skia/capi/sk_avif_decoder.cpp,todo,P2,,
skia/capi/sk_avif_decoder.h,todo,P2,,
skia/capi/sk_b_box_hierarchy.cpp,todo,P2,,
skia/capi/sk_b_box_hierarchy.h,todo,P2,,
skia/capi/sk_bitmap.cpp,todo,P2,,
skia/capi/sk_bitmap.h,todo,P2,,
skia/capi/sk_blend_mode.cpp,todo,P2,,
skia/capi/sk_blend_mode.h,todo,P2,,
skia/capi/sk_blender.cpp,todo,P2,,
skia/capi/sk_blender.h,todo,P2,,
skia/capi/sk_blenders.cpp,todo,P2,,
skia/capi/sk_blenders.h,todo,P2,,
skia/capi/sk_bmp_decoder.cpp,done,phase1,codex,"step2: unique_ptr 系 get_entity 呼び出しを take_entity へ明示化"
skia/capi/sk_bmp_decoder.h,todo,P2,,
skia/capi/sk_canvas.cpp,todo,P2,,
skia/capi/sk_canvas.h,todo,P2,,
skia/capi/sk_capabilities.cpp,todo,P2,,
skia/capi/sk_capabilities.h,todo,P2,,
skia/capi/sk_codec.cpp,done,phase1,codex,"step2: unique_ptr 系 get_entity 呼び出しを take_entity へ明示化"
skia/capi/sk_codec.h,todo,P2,,
skia/capi/sk_codecs.cpp,todo,P2,,
skia/capi/sk_codecs.h,todo,P2,,
skia/capi/sk_color.cpp,todo,P2,,
skia/capi/sk_color.h,todo,P2,,
skia/capi/sk_color_4f.cpp,todo,P2,,
skia/capi/sk_color_4f.h,todo,P2,,
skia/capi/sk_color_filter.cpp,todo,P2,,
skia/capi/sk_color_filter.h,todo,P2,,
skia/capi/sk_color_filters.cpp,todo,P2,,
skia/capi/sk_color_filters.h,todo,P2,,
skia/capi/sk_color_info.cpp,todo,P2,,
skia/capi/sk_color_info.h,todo,P2,,
skia/capi/sk_color_matrix.cpp,todo,P2,,
skia/capi/sk_color_matrix.h,todo,P2,,
skia/capi/sk_color_matrix_filter.cpp,todo,P2,,
skia/capi/sk_color_matrix_filter.h,todo,P2,,
skia/capi/sk_color_priv.cpp,todo,P2,,
skia/capi/sk_color_priv.h,todo,P2,,
skia/capi/sk_color_space.cpp,todo,P2,,
skia/capi/sk_color_space.h,todo,P2,,
skia/capi/sk_color_space_primaries.cpp,todo,P2,,
skia/capi/sk_color_space_primaries.h,todo,P2,,
skia/capi/sk_color_table.cpp,todo,P2,,
skia/capi/sk_color_table.h,todo,P2,,
skia/capi/sk_contour_measure.cpp,todo,P2,,
