category,header,implementation,function,line,status,owner,note
handle_key_return|handle_key_param,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_computeOutputColorSpace,29,done,,header signature migrated int -> sk_color_space_t for return/prefColorSpace
handle_key_return,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_getSampledDimensions,31,done,,header return type migrated int -> sk_i_size_t
handle_key_return,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_getSampledSubsetDimensions,33,done,,header return type migrated int -> sk_i_size_t
handle_key_return|handle_key_param,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_MakeFromCodec,42,done,,header signature migrated int -> sk_android_codec_t/sk_codec_t
handle_key_return|handle_key_param,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_MakeFromStream,43,done,,header signature migrated int -> sk_android_codec_t/sk_codec_t
handle_key_return|handle_key_param,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_MakeFromData,44,done,,header signature migrated int -> sk_android_codec_t/sk_codec_t
handle_key_return,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_asImage,39,done,,header return type migrated int -> sk_image_t
handle_key_return,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_bounds,40,done,,header return type migrated int -> sk_i_rect_t
handle_key_return,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_dimensions,45,done,,header return type migrated int -> sk_i_size_t
handle_key_param,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_erase_2,49,done,,header param type migrated int -> sk_color_4f_t
handle_key_param,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_eraseColor_2,53,done,,header param type migrated int -> sk_color_4f_t
handle_key_return,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_getColor4f,66,done,,header return type migrated int -> sk_color_4f_t
handle_key_return,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_getSubset,69,done,,header return type migrated int -> sk_i_rect_t
handle_key_return,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_info,71,done,,header return type migrated int -> sk_image_info_t
handle_key_return,skia/binding/sk_bitmap.h,skia/binding/sk_bitmap.cpp,SkBitmap_makeShader,79,done,,header return type migrated int -> sk_shader_t
