type,header,implementation,status,owner,note
SkBBoxHierarchy,skia/binding/sk_b_box_hierarchy.h,skia/binding/sk_b_box_hierarchy.cpp,todo,,delete を release/unref へ統一
SkBlender,skia/binding/sk_blender.h,skia/binding/sk_blender.cpp,todo,,delete を release/unref へ統一
SkCapabilities,skia/binding/sk_capabilities.h,skia/binding/sk_capabilities.cpp,todo,,delete を release/unref へ統一
SkColorFilter,skia/binding/sk_color_filter.h,skia/binding/sk_color_filter.cpp,todo,,delete を release/unref へ統一
SkColorMatrixFilter,skia/binding/sk_color_matrix_filter.h,skia/binding/sk_color_matrix_filter.cpp,todo,,delete を release/unref へ統一
SkColorSpace,skia/binding/sk_color_space.h,skia/binding/sk_color_space.cpp,todo,,delete を release/unref へ統一
SkColorTable,skia/binding/sk_color_table.h,skia/binding/sk_color_table.cpp,todo,,delete を release/unref へ統一
SkContourMeasure,skia/binding/sk_contour_measure.h,skia/binding/sk_contour_measure.cpp,todo,,delete を release/unref へ統一
SkData,skia/binding/sk_data.h,skia/binding/sk_data.cpp,todo,,delete を release/unref へ統一
SkDataTable,skia/binding/sk_data_table.h,skia/binding/sk_data_table.cpp,todo,,delete を release/unref へ統一
SkDocument,skia/binding/sk_document.h,skia/binding/sk_document.cpp,todo,,delete を release/unref へ統一
SkDrawable,skia/binding/sk_drawable.h,skia/binding/sk_drawable.cpp,todo,,delete を release/unref へ統一
SkFlattenable,skia/binding/sk_flattenable.h,skia/binding/sk_flattenable.cpp,todo,,delete を release/unref へ統一
SkFontMgr,skia/binding/sk_font_mgr.h,skia/binding/sk_font_mgr.cpp,todo,,delete を release/unref へ統一
SkFontStyleSet,skia/binding/sk_font_style_set.h,skia/binding/sk_font_style_set.cpp,todo,,delete を release/unref へ統一
SkImage,skia/binding/sk_image.h,skia/binding/sk_image.cpp,todo,,delete を release/unref へ統一
SkImageFilter,skia/binding/sk_image_filter.h,skia/binding/sk_image_filter.cpp,todo,,delete を release/unref へ統一
SkMaskFilter,skia/binding/sk_mask_filter.h,skia/binding/sk_mask_filter.cpp,todo,,delete を release/unref へ統一
SkPathEffect,skia/binding/sk_path_effect.h,skia/binding/sk_path_effect.cpp,todo,,delete を release/unref へ統一
SkPicture,skia/binding/sk_picture.h,skia/binding/sk_picture.cpp,todo,,delete を release/unref へ統一
SkPixelRef,skia/binding/sk_pixel_ref.h,skia/binding/sk_pixel_ref.cpp,todo,,delete を release/unref へ統一
SkRefCnt,skia/binding/sk_ref_cnt.h,skia/binding/sk_ref_cnt.cpp,todo,,delete を release/unref へ統一
SkRefCntBase,skia/binding/sk_ref_cnt_base.h,skia/binding/sk_ref_cnt_base.cpp,todo,,delete を release/unref へ統一
SkRuntimeEffect,skia/binding/sk_runtime_effect.h,skia/binding/sk_runtime_effect.cpp,todo,,delete を release/unref へ統一
SkShader,skia/binding/sk_shader.h,skia/binding/sk_shader.cpp,todo,,delete を release/unref へ統一
SkSurface,skia/binding/sk_surface.h,skia/binding/sk_surface.cpp,todo,,delete を release/unref へ統一
SkTextBlob,skia/binding/sk_text_blob.h,skia/binding/sk_text_blob.cpp,todo,,delete を release/unref へ統一
SkVertices,skia/binding/sk_vertices.h,skia/binding/sk_vertices.cpp,todo,,delete を release/unref へ統一
