category,header,implementation,function,line,status,owner,note
void_ptr,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_delete,12,done,,typed opaque pointer aliases introduced for SkAndroidCodec API surface
void_ptr,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_getInfo,13,done,,typed opaque pointer aliases introduced for SkImageInfo return
void_ptr,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_getICCProfile,14,done,,typed opaque pointer aliases introduced for codec receiver
void_ptr,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_getEncodedFormat,15,done,,typed opaque pointer aliases introduced for codec receiver
void_ptr,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_computeOutputColorType,16,done,,typed opaque pointer aliases introduced for codec receiver
void_ptr,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_computeOutputAlphaType,17,done,,typed opaque pointer aliases introduced for codec receiver
void_ptr,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_computeOutputColorSpace,18,done,,typed opaque pointer aliases introduced for codec receiver
void_ptr,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_computeSampleSize,19,done,,typed opaque pointer aliases introduced for SkISize inout parameter
void_ptr,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_getSampledDimensions,20,done,,typed opaque pointer aliases introduced for codec receiver
void_ptr,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_getSupportedSubset,21,done,,typed opaque pointer aliases introduced for SkIRect inout parameter
void_ptr,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_getSampledSubsetDimensions,22,done,,typed opaque pointer aliases introduced for subset parameter
void_ptr|primitive,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_getAndroidPixels,23,done,,typed opaque pointer aliases introduced and rowBytes normalized to size_t
void_ptr|suffix|primitive,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_getAndroidPixels_2,24,done,,typed opaque pointer aliases introduced; replacement planned name: SkAndroidCodec_getAndroidPixelsWithDefaultOptions
void_ptr|primitive,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_getPixels,25,done,,typed opaque pointer aliases introduced and rowBytes normalized to size_t
void_ptr,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_codec,26,done,,typed opaque pointer aliases introduced for SkCodec return
void_ptr,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_getAndroidGainmap,27,done,,typed opaque pointer aliases introduced for gainmap out parameter
void_ptr,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_MakeFromStream,32,done,,typed opaque pointer aliases introduced for SkPngChunkReader
void_ptr,skia/binding/sk_android_codec.h,skia/binding/sk_android_codec.cpp,SkAndroidCodec_MakeFromData,33,done,,typed opaque pointer aliases introduced for SkPngChunkReader
void_ptr,skia/binding/sk_annotation.h,skia/binding/sk_annotation.cpp,SkAnnotation_SkAnnotateLinkToDestination,12,done,,typed opaque pointer aliases introduced: reskia_canvas_t/reskia_rect_t/reskia_data_t
void_ptr,skia/binding/sk_annotation.h,skia/binding/sk_annotation.cpp,SkAnnotation_SkAnnotateNamedDestination,13,done,,typed opaque pointer aliases introduced: reskia_canvas_t/reskia_point_t/reskia_data_t
void_ptr,skia/binding/sk_annotation.h,skia/binding/sk_annotation.cpp,SkAnnotation_SkAnnotateRectWithURL,14,done,,typed opaque pointer aliases introduced: reskia_canvas_t/reskia_rect_t/reskia_data_t
void_ptr,skia/binding/sk_b_box_hierarchy.h,skia/binding/sk_b_box_hierarchy.cpp,SkBBoxHierarchy_delete,12,done,,typed opaque pointer aliases introduced for SkBBoxHierarchy API surface
void_ptr,skia/binding/sk_b_box_hierarchy.h,skia/binding/sk_b_box_hierarchy.cpp,SkBBoxHierarchy_insert,13,done,,typed opaque pointer aliases introduced for SkRect parameter
void_ptr|suffix,skia/binding/sk_b_box_hierarchy.h,skia/binding/sk_b_box_hierarchy.cpp,SkBBoxHierarchy_insert_2,14,done,,typed opaque pointer aliases introduced; replacement planned name: SkBBoxHierarchy_insertWithMetadata
void_ptr,skia/binding/sk_b_box_hierarchy.h,skia/binding/sk_b_box_hierarchy.cpp,SkBBoxHierarchy_search,15,done,,typed opaque pointer aliases introduced for hierarchy/query parameters
void_ptr|primitive,skia/binding/sk_b_box_hierarchy.h,skia/binding/sk_b_box_hierarchy.cpp,SkBBoxHierarchy_bytesUsed,16,done,,return type normalized from unsigned long to size_t
void_ptr,skia/binding/sk_b_box_hierarchy.h,skia/binding/sk_b_box_hierarchy.cpp,SkBBoxHierarchy_unique,17,done,,typed opaque pointer aliases introduced for hierarchy receiver
