area,header,class,class_kind,class_line,class_status,method,method_line,method_static,method_status,matched_capi,signature,note
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,class,16,missing,clipWithStencil,17,yes,na,,static bool clipWithStencil(SkCanvas* canvas);,SkAndroidFrameworkUtils is guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK and exposes Android framework-private APIs outside Reskia's portable C ABI.
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,class,16,missing,SafetyNetLog,17,yes,na,,static void SafetyNetLog(const char*);,SkAndroidFrameworkUtils is guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK and exposes Android framework-private APIs outside Reskia's portable C ABI.
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,class,16,missing,getSurfaceFromCanvas,17,yes,na,,static sk_sp<SkSurface> getSurfaceFromCanvas(SkCanvas* canvas);,SkAndroidFrameworkUtils is guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK and exposes Android framework-private APIs outside Reskia's portable C ABI.
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,class,16,missing,SaveBehind,17,yes,na,,"static int SaveBehind(SkCanvas* canvas, const SkRect* subset);",SkAndroidFrameworkUtils is guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK and exposes Android framework-private APIs outside Reskia's portable C ABI.
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,class,16,missing,ResetClip,17,yes,na,,static void ResetClip(SkCanvas* canvas);,SkAndroidFrameworkUtils is guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK and exposes Android framework-private APIs outside Reskia's portable C ABI.
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,class,16,missing,getBaseWrappedCanvas,17,yes,na,,static SkCanvas* getBaseWrappedCanvas(SkCanvas* canvas);,SkAndroidFrameworkUtils is guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK and exposes Android framework-private APIs outside Reskia's portable C ABI.
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,class,16,missing,ShaderAsALinearGradient,48,yes,na,,"static bool ShaderAsALinearGradient(SkShader* shader, LinearGradientInfo*);",SkAndroidFrameworkUtils is guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK and exposes Android framework-private APIs outside Reskia's portable C ABI.
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,class,14,covered,Make,15,yes,covered,SkAnimatedImage_Make,"static sk_sp<SkAnimatedImage> Make(std::unique_ptr<SkAndroidCodec>, const SkImageInfo& info, SkIRect cropRect, sk_sp<SkPicture> postProcess);",
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,class,14,covered,Make,15,yes,covered,SkAnimatedImage_Make,static sk_sp<SkAnimatedImage> Make(std::unique_ptr<SkAndroidCodec>);,
include/android,include/android/SkAnimatedImage.h,SkAnimatedImage,class,14,covered,~SkAnimatedImage,15,no,covered,SkAnimatedImage_delete,~SkAnimatedImage() override;,
