area,header,class,method,method_line,method_static,triage,priority,signature,note
include/gpu,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,GrBackendDrawableInfo,7,no,real_gap,P2,GrBackendDrawableInfo() : fIsValid(false) {},Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,GrBackendDrawableInfo,7,no,real_gap,P2,"GrBackendDrawableInfo(const GrVkDrawableInfo& info) : fIsValid(true) , fBackend(GrBackendApi::kVulkan) , fVkInfo(info) {}",Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,isValid,7,no,real_gap,P2,bool isValid() const { return fIsValid; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,backend,7,no,real_gap,P2,GrBackendApi backend() const { return fBackend; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendDrawableInfo.h,GrBackendDrawableInfo,getVkDrawableInfo,7,no,real_gap,P2,bool getVkDrawableInfo(GrVkDrawableInfo* outInfo) const { if (this->isValid() && GrBackendApi::kVulkan == fBackend) { *outInfo = fVkInfo; return true; } return false; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,GrBackendSemaphore,21,no,real_gap,P2,GrBackendSemaphore();,Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,~GrBackendSemaphore,21,no,false_positive,P0,~GrBackendSemaphore();,"destructor/lifetime should be represented by wrapper release/delete API, not direct method binding"
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,GrBackendSemaphore,21,no,real_gap,P2,GrBackendSemaphore(const GrBackendSemaphore&);,Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,initVulkan,21,no,real_gap,P2,void initVulkan(VkSemaphore semaphore) { fBackend = GrBackendApi::kVulkan; fVkSemaphore = semaphore; fIsInitialized = true; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,vkSemaphore,21,no,real_gap,P2,VkSemaphore vkSemaphore() const { if (!fIsInitialized || GrBackendApi::kVulkan != fBackend) { return VK_NULL_HANDLE; } return fVkSemaphore; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,initMetal,21,no,real_gap,P2,"void initMetal(GrMTLHandle event, uint64_t value) { fBackend = GrBackendApi::kMetal; fMtlEvent = event; fMtlValue = value; fIsInitialized = true; }",Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,mtlSemaphore,21,no,real_gap,P2,GrMTLHandle mtlSemaphore() const { if (!fIsInitialized || GrBackendApi::kMetal != fBackend) { return nullptr; } return fMtlEvent; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,mtlValue,21,no,real_gap,P2,uint64_t mtlValue() const { if (!fIsInitialized || GrBackendApi::kMetal != fBackend) { return 0; } return fMtlValue; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,initDirect3D,21,no,na,P3,void initDirect3D(const GrD3DFenceInfo& info) { fBackend = GrBackendApi::kDirect3D; this->assignD3DFenceInfo(info); fIsInitialized = true; },Phase 2 later: Direct3D backend is not enabled in current Reskia platform/build plan
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,isInitialized,21,no,real_gap,P2,bool isInitialized() const { return fIsInitialized; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,backend,21,no,real_gap,P2,GrBackendApi backend() const { return fBackend; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSemaphore.h,GrBackendSemaphore,getD3DFenceInfo,21,no,na,P3,bool getD3DFenceInfo(GrD3DFenceInfo* outInfo) const;,Phase 2 later: Direct3D backend is not enabled in current Reskia platform/build plan
include/gpu,include/gpu/GrBackendSurface.h,GrBackendFormat,MakeDxgi,37,yes,na,P3,static GrBackendFormat MakeDxgi(DXGI_FORMAT format) { return GrBackendFormat(format); },Phase 2 later: Direct3D backend is not enabled in current Reskia platform/build plan
include/gpu,include/gpu/GrBackendSurface.h,GrBackendFormat,desc,37,no,real_gap,P2,GrColorFormatDesc desc() const;,Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSurface.h,GrBackendFormat,asMtlFormat,37,no,real_gap,P2,GrMTLPixelFormat asMtlFormat() const;,Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSurface.h,GrBackendFormat,asDxgiFormat,37,no,na,P3,bool asDxgiFormat(DXGI_FORMAT*) const;,Phase 2 later: Direct3D backend is not enabled in current Reskia platform/build plan
include/gpu,include/gpu/GrBackendSurface.h,GrBackendFormat,toStr,37,no,real_gap,P2,SkString toStr() const;,Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,dimensions,142,no,real_gap,P2,"SkISize dimensions() const { return {fWidth, fHeight}; }",Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,getLabel,142,no,real_gap,P2,std::string_view getLabel() const { return fLabel; },Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,getMtlTextureInfo,142,no,real_gap,P2,bool getMtlTextureInfo(GrMtlTextureInfo*) const;,Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,getD3DTextureResourceInfo,142,no,na,P3,bool getD3DTextureResourceInfo(GrD3DTextureResourceInfo*) const;,Phase 2 later: Direct3D backend is not enabled in current Reskia platform/build plan
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,setD3DResourceState,142,no,na,P3,void setD3DResourceState(GrD3DResourceStateEnum);,Phase 2 later: Direct3D backend is not enabled in current Reskia platform/build plan
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,getMockTextureInfo,142,no,real_gap,P2,bool getMockTextureInfo(GrMockTextureInfo*) const;,Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,setMutableState,142,no,real_gap,P2,void setMutableState(const skgpu::MutableTextureState&);,Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSurface.h,GrBackendTexture,TestingOnly_Equals,142,yes,na,P0,"static bool TestingOnly_Equals(const GrBackendTexture&, const GrBackendTexture&);",testing/private helper is not part of stable C ABI surface
include/gpu,include/gpu/GrBackendSurface.h,GrBackendRenderTarget,dimensions,289,no,real_gap,P2,"SkISize dimensions() const { return {fWidth, fHeight}; }",Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSurface.h,GrBackendRenderTarget,getMtlTextureInfo,289,no,real_gap,P2,bool getMtlTextureInfo(GrMtlTextureInfo*) const;,Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSurface.h,GrBackendRenderTarget,getD3DTextureResourceInfo,289,no,na,P3,bool getD3DTextureResourceInfo(GrD3DTextureResourceInfo*) const;,Phase 2 later: Direct3D backend is not enabled in current Reskia platform/build plan
include/gpu,include/gpu/GrBackendSurface.h,GrBackendRenderTarget,setD3DResourceState,289,no,na,P3,void setD3DResourceState(GrD3DResourceStateEnum);,Phase 2 later: Direct3D backend is not enabled in current Reskia platform/build plan
include/gpu,include/gpu/GrBackendSurface.h,GrBackendRenderTarget,getMockRenderTargetInfo,289,no,real_gap,P2,bool getMockRenderTargetInfo(GrMockRenderTargetInfo*) const;,Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSurface.h,GrBackendRenderTarget,setMutableState,289,no,real_gap,P2,void setMutableState(const skgpu::MutableTextureState&);,Phase 2: backend value wrapper/query API needed for GPU surface and texture interop
include/gpu,include/gpu/GrBackendSurface.h,GrBackendRenderTarget,TestingOnly_Equals,289,yes,na,P0,"static bool TestingOnly_Equals(const GrBackendRenderTarget&, const GrBackendRenderTarget&);",testing/private helper is not part of stable C ABI surface
include/gpu,include/gpu/GrContextOptions.h,GrContextOptions,GrContextOptions,52,no,real_gap,P2,GrContextOptions() {},Phase 2: GPU backend/platform API candidate; expose behind matching feature guards after ownership review
include/gpu,include/gpu/GrContextThreadSafeProxy.h,GrContextThreadSafeProxy,~GrContextThreadSafeProxy,24,no,false_positive,P0,~GrContextThreadSafeProxy();,"destructor/lifetime should be represented by wrapper release/delete API, not direct method binding"
include/gpu,include/gpu/GrContextThreadSafeProxy.h,GrContextThreadSafeProxy,createCharacterization,24,no,real_gap,P1,"GrSurfaceCharacterization createCharacterization( size_t cacheMaxResourceBytes, const SkImageInfo& ii, const GrBackendFormat& backendFormat, int sampleCount, GrSurfaceOrigin origin, const SkSurfaceProps& surfaceProps, bool isMipMapped, bool",Phase 2B: implement with GrSurfaceCharacterization owned wrapper after API design is fixed
include/gpu,include/gpu/GrContextThreadSafeProxy.h,GrContextThreadSafeProxy,priv,24,no,na,P0,GrContextThreadSafeProxyPriv priv();,testing/private helper is not part of stable C ABI surface
include/gpu,include/gpu/GrContextThreadSafeProxy.h,GrContextThreadSafeProxy,priv,24,no,na,P0,const GrContextThreadSafeProxyPriv priv() const;,testing/private helper is not part of stable C ABI surface
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeVulkan,54,yes,real_gap,P1,"static sk_sp<GrDirectContext> MakeVulkan(const GrVkBackendContext&, const GrContextOptions&);",Phase 2C: context-options wrapper is needed before exposing this factory overload
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeVulkan,54,yes,real_gap,P1,static sk_sp<GrDirectContext> MakeVulkan(const GrVkBackendContext&);,Phase 2B: existing Reskia_GaneshContext_MakeMetal/MakeVulkan covers the simple backend factory shape; add alias or update coverage mapping
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeMetal,54,yes,real_gap,P1,"static sk_sp<GrDirectContext> MakeMetal(const GrMtlBackendContext&, const GrContextOptions&);",Phase 2C: context-options wrapper is needed before exposing this factory overload
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeMetal,54,yes,real_gap,P1,static sk_sp<GrDirectContext> MakeMetal(const GrMtlBackendContext&);,Phase 2B: existing Reskia_GaneshContext_MakeMetal/MakeVulkan covers the simple backend factory shape; add alias or update coverage mapping
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeMetal,54,yes,real_gap,P1,"static sk_sp<GrDirectContext> MakeMetal(void* device, void* queue, const GrContextOptions&);",Phase 2C: context-options wrapper is needed before exposing this factory overload
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeMetal,54,yes,real_gap,P1,"static sk_sp<GrDirectContext> MakeMetal(void* device, void* queue);",Phase 2B: existing Reskia_GaneshContext_MakeMetal/MakeVulkan covers the simple backend factory shape; add alias or update coverage mapping
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeDirect3D,54,yes,na,P3,"static sk_sp<GrDirectContext> MakeDirect3D(const GrD3DBackendContext&, const GrContextOptions&);",Phase 2 later: Direct3D backend is not enabled in current Reskia platform/build plan
include/gpu,include/gpu/GrDirectContext.h,GrDirectContext,MakeDirect3D,54,yes,na,P3,static sk_sp<GrDirectContext> MakeDirect3D(const GrD3DBackendContext&);,Phase 2 later: Direct3D backend is not enabled in current Reskia platform/build plan
