area,header,class,method,method_line,method_status,matched_capi,triage,priority,residual_kind,signature,generator_action,note
include/core,include/core/SkDrawLooper.h,SkDrawLooper,makeContext,42,na,,na,P3,tracked,virtual Context* makeContext(SkArenaAlloc*) const = 0;,Add/keep guard-aware NA classification outside coverage numerator.,legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,canComputeFastBounds,42,na,,na,P3,tracked,bool canComputeFastBounds(const SkPaint& paint) const;,Add/keep guard-aware NA classification outside coverage numerator.,legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,computeFastBounds,42,na,,na,P3,tracked,"void computeFastBounds(const SkPaint& paint, const SkRect& src, SkRect* dst) const;",Add/keep guard-aware NA classification outside coverage numerator.,legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,asABlurShadow,56,na,,na,P3,tracked,virtual bool asABlurShadow(BlurShadowRec*) const;,Add/keep guard-aware NA classification outside coverage numerator.,legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,GetFlattenableType,56,na,,na,P3,tracked,static SkFlattenable::Type GetFlattenableType() { return kSkDrawLooper_Type; },Add/keep guard-aware NA classification outside coverage numerator.,legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,getFlattenableType,56,na,,na,P3,tracked,SkFlattenable::Type getFlattenableType() const override { return kSkDrawLooper_Type; },Add/keep guard-aware NA classification outside coverage numerator.,legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,Deserialize,56,na,,na,P3,tracked,"static sk_sp<SkDrawLooper> Deserialize(const void* data, size_t size, const SkDeserialProcs* procs = nullptr) { return sk_sp<SkDrawLooper>(static_cast<SkDrawLooper*>( SkFlattenable::Deserialize( kSkDrawLooper_Type, data, size, procs).releas",Add/keep guard-aware NA classification outside coverage numerator.,legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkDrawLooper.h,SkDrawLooper,apply,56,na,,na,P3,tracked,"void apply(SkCanvas* canvas, const SkPaint& paint, std::function<void(SkCanvas*, const SkPaint&)>);",Add/keep guard-aware NA classification outside coverage numerator.,legacy API guarded by SK_SUPPORT_LEGACY_DRAWLOOPER; current default Reskia build cannot include the public header without enabling unsupported legacy drawlooper support
include/core,include/core/SkFontStyle.h,SkFontStyle,SkFontStyle,40,false_positive,SkFontStyle_Bold|SkFontStyle_BoldItalic|SkFontStyle_Italic|SkFontStyle_Normal|SkFontStyle_delete|SkFontStyle_slant|SkFontStyle_weight|SkFontStyle_width,false_positive,P0,tracked,"constexpr SkFontStyle(int weight, int width, Slant slant) : fValue( (SkTPin<int>(weight, kInvisible_Weight, kExtraBlack_Weight)) + (SkTPin<int>(width, kUltraCondensed_Width, kUltraExpanded_Width) << 16) + (SkTPin<int>(slant, kUpright_Slant,",Suppress or map false-positive C++ convenience/special-member row.,constructor is covered by existing SkFontStyle constructor C API under project naming
include/core,include/core/SkM44.h,SkV4,operator[],90,false_positive,SkV4_Dot|SkV4_Normalize|SkV4_add|SkV4_delete|SkV4_dot|SkV4_equals|SkV4_length|SkV4_lengthSquared,false_positive,P0,tracked,float operator[](int i) const { SkASSERT(i >= 0 && i < 4); return this->ptr()[i]; },Suppress or map false-positive C++ convenience/special-member row.,index operator convenience is covered better by ptr/component accessors; avoid operator-shaped C ABI
include/core,include/core/SkM44.h,SkV4,operator[],90,false_positive,SkV4_Dot|SkV4_Normalize|SkV4_add|SkV4_delete|SkV4_dot|SkV4_equals|SkV4_length|SkV4_lengthSquared,false_positive,P0,tracked,float& operator[](int i) { SkASSERT(i >= 0 && i < 4); return this->ptr()[i]; },Suppress or map false-positive C++ convenience/special-member row.,index operator convenience is covered better by ptr/component accessors; avoid operator-shaped C ABI
