area,header,class,method,method_line,method_status,matched_capi,triage,priority,residual_kind,signature,generator_action,note
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,clipWithStencil,17,missing,,na,P3,android_framework_only,static bool clipWithStencil(SkCanvas* canvas);,Phase 15 platform/internal override,SkAndroidFrameworkUtils is guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK and exposes Android framework-private APIs outside Reskia's portable C ABI.
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,SafetyNetLog,17,missing,,na,P3,android_framework_only,static void SafetyNetLog(const char*);,Phase 15 platform/internal override,SkAndroidFrameworkUtils is guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK and exposes Android framework-private APIs outside Reskia's portable C ABI.
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,getSurfaceFromCanvas,17,missing,,na,P3,android_framework_only,static sk_sp<SkSurface> getSurfaceFromCanvas(SkCanvas* canvas);,Phase 15 platform/internal override,SkAndroidFrameworkUtils is guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK and exposes Android framework-private APIs outside Reskia's portable C ABI.
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,SaveBehind,17,missing,,na,P3,android_framework_only,"static int SaveBehind(SkCanvas* canvas, const SkRect* subset);",Phase 15 platform/internal override,SkAndroidFrameworkUtils is guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK and exposes Android framework-private APIs outside Reskia's portable C ABI.
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,ResetClip,17,missing,,na,P3,android_framework_only,static void ResetClip(SkCanvas* canvas);,Phase 15 platform/internal override,SkAndroidFrameworkUtils is guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK and exposes Android framework-private APIs outside Reskia's portable C ABI.
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,getBaseWrappedCanvas,17,missing,,na,P3,android_framework_only,static SkCanvas* getBaseWrappedCanvas(SkCanvas* canvas);,Phase 15 platform/internal override,SkAndroidFrameworkUtils is guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK and exposes Android framework-private APIs outside Reskia's portable C ABI.
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,ShaderAsALinearGradient,48,missing,,na,P3,android_framework_only,"static bool ShaderAsALinearGradient(SkShader* shader, LinearGradientInfo*);",Phase 15 platform/internal override,SkAndroidFrameworkUtils is guarded by SK_BUILD_FOR_ANDROID_FRAMEWORK and exposes Android framework-private APIs outside Reskia's portable C ABI.
include/core,include/core/SkBBHFactory.h,SkBBHFactory,operator(),32,missing,,na,P3,abstract_callback_factory,virtual sk_sp<SkBBoxHierarchy> operator()() const = 0;,Phase 15 abstract callback override,SkBBHFactory is an abstract C++ factory callback surface; concrete behavior is represented by specific factories such as SkRTreeFactory rather than a generic C callback owner.
include/core,include/core/SkBBHFactory.h,SkBBHFactory,~SkBBHFactory,32,missing,,false_positive,P0,destructor_lifetime,virtual ~SkBBHFactory() {},Phase 15 destructor override,Destructor/lifetime should be represented by concrete wrapper release/delete APIs and is not a direct C ABI method.
include/core,include/core/SkFlattenable.h,SkFlattenable,SkFlattenable,26,missing,SkFlattenable_Deserialize|SkFlattenable_FactoryToName|SkFlattenable_NameToFactory|SkFlattenable_Register|SkFlattenable_flatten|SkFlattenable_getFactory|SkFlattenable_getFlattenableType|SkFlattenable_getTypeName,false_positive,P0,abstract_base_constructor,SkFlattenable() {},Phase 15 abstract constructor override,SkFlattenable is an abstract base; C ABI exposes flattenable instances through concrete subclasses and existing flattenable helper APIs.
