area,header,class,method,method_line,method_status,matched_capi,triage,priority,residual_kind,signature,generator_action,note
include/gpu,include/gpu/graphite/BackendSemaphore.h,BackendSemaphore,BackendSemaphore,15,covered,Graphite_BackendSemaphore_new,covered,P2,implementation_done,BackendSemaphore();,Phase 17A GPU small-gap covered override,Default Graphite BackendSemaphore value wrapper is now exposed as Graphite_BackendSemaphore_new
include/gpu,include/gpu/graphite/BackendSemaphore.h,BackendSemaphore,BackendSemaphore,15,covered,Graphite_BackendSemaphore_newMtl,covered,P2,implementation_done,"BackendSemaphore(CFTypeRef mtlEvent, uint64_t value);",Phase 17A GPU small-gap covered override,Metal Graphite BackendSemaphore constructor is now exposed as Graphite_BackendSemaphore_newMtl with unavailable backends returning NULL
include/gpu,include/gpu/graphite/BackendSemaphore.h,BackendSemaphore,BackendSemaphore,15,covered,Graphite_BackendSemaphore_newCopy,covered,P2,implementation_done,BackendSemaphore(const BackendSemaphore&);,Phase 17A GPU small-gap covered override,Graphite BackendSemaphore copy constructor is now exposed as Graphite_BackendSemaphore_newCopy
include/gpu,include/gpu/graphite/BackendSemaphore.h,BackendSemaphore,isValid,15,covered,Graphite_BackendSemaphore_isValid,covered,P2,implementation_done,bool isValid() const { return fIsValid; },Phase 17A GPU small-gap covered override,Graphite BackendSemaphore validity query is now exposed
include/gpu,include/gpu/graphite/BackendSemaphore.h,BackendSemaphore,backend,15,covered,Graphite_BackendSemaphore_backend,covered,P2,implementation_done,BackendApi backend() const { return fBackend; },Phase 17A GPU small-gap covered override,Graphite BackendSemaphore backend query is now exposed
include/gpu,include/gpu/graphite/BackendSemaphore.h,BackendSemaphore,getMtlEvent,15,covered,Graphite_BackendSemaphore_getMtlEvent,covered,P2,implementation_done,CFTypeRef getMtlEvent() const;,Phase 17A GPU small-gap covered override,Graphite BackendSemaphore Metal event query is now exposed with NULL for unavailable Metal paths
include/gpu,include/gpu/graphite/BackendSemaphore.h,BackendSemaphore,getMtlValue,15,covered,Graphite_BackendSemaphore_getMtlValue,covered,P2,implementation_done,uint64_t getMtlValue() const;,Phase 17A GPU small-gap covered override,Graphite BackendSemaphore Metal value query is now exposed with 0 for unavailable Metal paths
include/gpu,include/gpu/graphite/TextureInfo.h,TextureInfo,isCompatible,20,covered,Graphite_TextureInfo_isCompatible,covered,P2,implementation_done,bool isCompatible(const TextureInfo& that) const;,Phase 17A GPU small-gap covered override,Graphite TextureInfo compatibility query is now exposed
include/gpu,include/gpu/graphite/ContextOptions.h,ContextOptions,ContextOptions,13,covered,Graphite_ContextOptions_new,covered,P2,implementation_done,ContextOptions() {},Phase 17A GPU small-gap covered override,Graphite ContextOptions default construction and stable budget field are now exposed
include/gpu,include/gpu/graphite/Recorder.h,RecorderOptions,RecorderOptions,54,covered,Graphite_RecorderOptions_new,covered,P2,implementation_done,RecorderOptions();,Phase 17A GPU small-gap covered override,Graphite RecorderOptions default construction and stable budget field are now exposed
include/gpu,include/gpu/graphite/Recorder.h,RecorderOptions,RecorderOptions,54,covered,Graphite_RecorderOptions_newCopy,covered,P2,implementation_done,RecorderOptions(const RecorderOptions&);,Phase 17A GPU small-gap covered override,Graphite RecorderOptions copy construction is now exposed
