area,header,class,method,method_line,method_static,triage,priority,signature,note
include/utils,include/utils/SkCamera.h,Sk3DView,setCameraLocation,65,no,na,P3,"void setCameraLocation(SkScalar x, SkScalar y, SkScalar z);","SK_BUILD_FOR_ANDROID_FRAMEWORK only; default Reskia build does not expose this member. Add guarded C ABI only when Android framework build is supported."
include/utils,include/utils/SkCamera.h,Sk3DView,getCameraLocationX,65,no,na,P3,SkScalar getCameraLocationX() const;,"SK_BUILD_FOR_ANDROID_FRAMEWORK only; default Reskia build does not expose this member. Add guarded C ABI only when Android framework build is supported."
include/utils,include/utils/SkCamera.h,Sk3DView,getCameraLocationY,65,no,na,P3,SkScalar getCameraLocationY() const;,"SK_BUILD_FOR_ANDROID_FRAMEWORK only; default Reskia build does not expose this member. Add guarded C ABI only when Android framework build is supported."
include/utils,include/utils/SkCamera.h,Sk3DView,getCameraLocationZ,65,no,na,P3,SkScalar getCameraLocationZ() const;,"SK_BUILD_FOR_ANDROID_FRAMEWORK only; default Reskia build does not expose this member. Add guarded C ABI only when Android framework build is supported."
include/utils,include/utils/SkCustomTypeface.h,SkCustomTypefaceBuilder,setGlyph,19,no,real_gap,P2,"void setGlyph(SkGlyphID, float advance, sk_sp<SkDrawable>, const SkRect& bounds);","C ABI added as SkCustomTypefaceBuilder_setGlyphDrawable with retained drawable semantics; coverage generator still reports overload group as partial because the C name is overload-disambiguated."
include/utils,include/utils/SkCustomTypeface.h,SkCustomTypefaceBuilder,setGlyph,19,no,real_gap,P2,"void setGlyph(SkGlyphID, float advance, const SkPath&);","C ABI added as SkCustomTypefaceBuilder_setGlyphPath; coverage generator still reports overload group as partial because overloads use disambiguated C names."
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,clipWithStencil,17,yes,na,P3,static bool clipWithStencil(SkCanvas* canvas);,"SK_BUILD_FOR_ANDROID_FRAMEWORK and Ganesh-only Android framework helper; default Reskia build does not expose this member."
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,SafetyNetLog,17,yes,na,P3,static void SafetyNetLog(const char*);,"SK_BUILD_FOR_ANDROID_FRAMEWORK-only and depends on Android log APIs; keep for guarded Android framework batch."
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,getSurfaceFromCanvas,17,yes,na,P3,static sk_sp<SkSurface> getSurfaceFromCanvas(SkCanvas* canvas);,"SK_BUILD_FOR_ANDROID_FRAMEWORK-only helper; default Reskia build does not expose this member."
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,SaveBehind,17,yes,na,P3,"static int SaveBehind(SkCanvas* canvas, const SkRect* subset);","SK_BUILD_FOR_ANDROID_FRAMEWORK-only helper using internal canvas APIs; default Reskia build does not expose this member."
include/android,include/android/SkAndroidFrameworkUtils.h,SkAndroidFrameworkUtils,ResetClip,17,yes,na,P3,static void ResetClip(SkCanvas* canvas);,"SK_BUILD_FOR_ANDROID_FRAMEWORK-only helper using internal canvas APIs; default Reskia build does not expose this member."
