area,header,class,method,previous_method_status,stale_status,capi_function,capi_header,capi_line,signature,note
include/core,include/core/SkM44.h,SkV2,operator==,covered,signature_changed_review,SkV2_equals,skia/capi/sk_v2.h,10,bool operator==(const SkV2 v) const { return x == v.x && y == v.y; },method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkM44.h,SkV2,operator!=,covered,signature_changed_review,SkV2_notEquals,skia/capi/sk_v2.h,11,bool operator!=(const SkV2 v) const { return !(*this == v); },method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkPath.h,SkPath,Line,covered,signature_changed_review,SkPath_Line,skia/capi/sk_path.h,175,"static SkPath Line(const SkPoint a, const SkPoint b) { return Polygon({a, b}, false); }",method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkPath.h,SkPath,arcTo,covered,signature_changed_review,SkPath_arcTo,skia/capi/sk_path.h,104,"SkPath& arcTo(const SkPoint p1, const SkPoint p2, SkScalar radius) { return this->arcTo(p1.fX, p1.fY, p2.fX, p2.fY, radius); }",method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkPath.h,SkPath,arcTo,covered,signature_changed_review,SkPath_arcTo,skia/capi/sk_path.h,104,"SkPath& arcTo(const SkPoint r, SkScalar xAxisRotate, ArcSize largeArc, SkPathDirection sweep, const SkPoint xy) { return this->arcTo(r.fX, r.fY, xAxisRotate, largeArc, sweep, xy.fX, xy.fY); }",method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkPathBuilder.h,SkPathBuilder,rMoveTo,covered,signature_changed_review,SkPathBuilder_rMoveTo,skia/capi/sk_path_builder.h,76,SkPathBuilder& rMoveTo(SkPoint pt);,method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkPathBuilder.h,SkPathBuilder,rLineTo,covered,signature_changed_review,SkPathBuilder_rLineTo,skia/capi/sk_path_builder.h,67,SkPathBuilder& rLineTo(SkPoint pt);,method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkPathBuilder.h,SkPathBuilder,rLineTo,covered,signature_changed_review,SkPathBuilder_rLineTo,skia/capi/sk_path_builder.h,67,"SkPathBuilder& rLineTo(SkScalar x, SkScalar y) { return this->rLineTo({x, y}); }",method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkPathBuilder.h,SkPathBuilder,rQuadTo,covered,signature_changed_review,SkPathBuilder_rQuadTo,skia/capi/sk_path_builder.h,69,"SkPathBuilder& rQuadTo(SkPoint pt1, SkPoint pt2);",method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkPathBuilder.h,SkPathBuilder,rQuadTo,covered,signature_changed_review,SkPathBuilder_rQuadTo,skia/capi/sk_path_builder.h,69,"SkPathBuilder& rQuadTo(SkScalar x1, SkScalar y1, SkScalar x2, SkScalar y2) { return this->rQuadTo({x1, y1}, {x2, y2}); }",method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkPathBuilder.h,SkPathBuilder,rConicTo,covered,signature_changed_review,SkPathBuilder_rConicTo,skia/capi/sk_path_builder.h,71,"SkPathBuilder& rConicTo(SkPoint p1, SkPoint p2, SkScalar w);",method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkPathBuilder.h,SkPathBuilder,rConicTo,covered,signature_changed_review,SkPathBuilder_rConicTo,skia/capi/sk_path_builder.h,71,"SkPathBuilder& rConicTo(SkScalar x1, SkScalar y1, SkScalar x2, SkScalar y2, SkScalar w) { return this->rConicTo({x1, y1}, {x2, y2}, w); }",method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkPathBuilder.h,SkPathBuilder,rCubicTo,covered,signature_changed_review,SkPathBuilder_rCubicTo,skia/capi/sk_path_builder.h,73,"SkPathBuilder& rCubicTo(SkPoint pt1, SkPoint pt2, SkPoint pt3);",method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkPathBuilder.h,SkPathBuilder,rCubicTo,covered,signature_changed_review,SkPathBuilder_rCubicTo,skia/capi/sk_path_builder.h,73,"SkPathBuilder& rCubicTo(SkScalar x1, SkScalar y1, SkScalar x2, SkScalar y2, SkScalar x3, SkScalar y3) { return this->rCubicTo({x1, y1}, {x2, y2}, {x3, y3}); }",method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkPathBuilder.h,SkPathBuilder,rArcTo,covered,signature_changed_review,SkPathBuilder_rArcTo,skia/capi/sk_path_builder.h,75,"SkPathBuilder& rArcTo(SkPoint r, SkScalar xAxisRotate, ArcSize largeArc, SkPathDirection sweep, SkPoint dxdy);",method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkStream.h,SkStream,getData,covered,signature_changed_review,SkStream_getData,skia/capi/sk_stream.h,41,virtual sk_sp<SkData> getData() const { return nullptr; },method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkStream.h,SkMemoryStream,SkMemoryStream,covered,signature_changed_review,SkMemoryStream_Make,skia/capi/sk_memory_stream.h,57,explicit SkMemoryStream(sk_sp<SkData> data);,method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkStream.h,SkMemoryStream,SkMemoryStream,covered,signature_changed_review,SkMemoryStream_MakeCopy,skia/capi/sk_memory_stream.h,54,explicit SkMemoryStream(sk_sp<SkData> data);,method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkStream.h,SkMemoryStream,SkMemoryStream,covered,signature_changed_review,SkMemoryStream_MakeDirect,skia/capi/sk_memory_stream.h,56,explicit SkMemoryStream(sk_sp<SkData> data);,method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkStream.h,SkMemoryStream,SkMemoryStream,covered,signature_changed_review,SkMemoryStream_new,skia/capi/sk_memory_stream.h,14,explicit SkMemoryStream(sk_sp<SkData> data);,method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkStream.h,SkMemoryStream,SkMemoryStream,covered,signature_changed_review,SkMemoryStream_newWithData,skia/capi/sk_memory_stream.h,18,explicit SkMemoryStream(sk_sp<SkData> data);,method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkStream.h,SkMemoryStream,SkMemoryStream,covered,signature_changed_review,SkMemoryStream_newWithDataAndCopyFlag,skia/capi/sk_memory_stream.h,17,explicit SkMemoryStream(sk_sp<SkData> data);,method still exists in current vendor headers with a different signature; review C ABI compatibility
include/core,include/core/SkStream.h,SkMemoryStream,SkMemoryStream,covered,signature_changed_review,SkMemoryStream_newWithLength,skia/capi/sk_memory_stream.h,15,explicit SkMemoryStream(sk_sp<SkData> data);,method still exists in current vendor headers with a different signature; review C ABI compatibility
