area,header,class,method,method_line,method_static,triage,priority,signature,note
modules/svg,modules/svg/include/SkSVGAttribute.h,SkSVGPresentationAttributes,MakeInitial,62,yes,real_gap,P3,static SkSVGPresentationAttributes MakeInitial();,Phase 3 later: SVG public helper/value API candidate after SkSVGDOM minimum API
modules/svg,modules/svg/include/SkSVGAttributeParser.h,SkSVGAttributeParser,SkSVGAttributeParser,9,no,na,P3,SkSVGAttributeParser(const char[]);,Phase 3 later/internal: SVG parser/render context plumbing is not an initial public C ABI target
modules/svg,modules/svg/include/SkSVGAttributeParser.h,SkSVGAttributeParser,parseInteger,9,no,na,P3,bool parseInteger(SkSVGIntegerType*);,Phase 3 later/internal: SVG parser/render context plumbing is not an initial public C ABI target
modules/svg,modules/svg/include/SkSVGAttributeParser.h,SkSVGAttributeParser,parseViewBox,9,no,na,P3,bool parseViewBox(SkSVGViewBoxType*);,Phase 3 later/internal: SVG parser/render context plumbing is not an initial public C ABI target
modules/svg,modules/svg/include/SkSVGAttributeParser.h,SkSVGAttributeParser,parsePreserveAspectRatio,9,no,na,P3,bool parsePreserveAspectRatio(SkSVGPreserveAspectRatio*);,Phase 3 later/internal: SVG parser/render context plumbing is not an initial public C ABI target
modules/svg,modules/svg/include/SkSVGAttributeParser.h,SkSVGAttributeParser,parse,9,no,na,P3,bool parse(SkSVGIntegerType* v) { return parseInteger(v); },Phase 3 later/internal: SVG parser/render context plumbing is not an initial public C ABI target
modules/svg,modules/svg/include/SkSVGCircle.h,SkSVGCircle,Make,9,yes,real_gap,P3,static sk_sp<SkSVGCircle> Make() { return sk_sp<SkSVGCircle>(new SkSVGCircle()); },Phase 3 later: DOM node factory; defer until node ownership/mutation model is designed
modules/svg,modules/svg/include/SkSVGCircle.h,SkSVGCircle,SVG_ATTR,9,no,false_positive,P0,"SVG_ATTR(Cx, SkSVGLength, SkSVGLength(0)) SVG_ATTR(Cy, SkSVGLength, SkSVGLength(0)) SVG_ATTR(R , SkSVGLength, SkSVGLength(0)) protected: bool parseAndSetAttribute(const char*, const char*) override;",SVG_ATTR macro expansion is not a standalone public C ABI method
modules/svg,modules/svg/include/SkSVGCircle.h,SkSVGCircle,onDraw,9,no,na,P3,"void onDraw(SkCanvas*, const SkSVGLengthContext&, const SkPaint&, SkPathFillType) const override;",Phase 3 later/internal: virtual render/parser hook should not be exposed before DOM ownership design
modules/svg,modules/svg/include/SkSVGCircle.h,SkSVGCircle,onAsPath,9,no,na,P3,SkPath onAsPath(const SkSVGRenderContext&) const override;,Phase 3 later/internal: virtual render/parser hook should not be exposed before DOM ownership design
modules/svg,modules/svg/include/SkSVGCircle.h,SkSVGCircle,onObjectBoundingBox,9,no,na,P3,SkRect onObjectBoundingBox(const SkSVGRenderContext&) const override;,Phase 3 later/internal: virtual render/parser hook should not be exposed before DOM ownership design
modules/svg,modules/svg/include/SkSVGClipPath.h,SkSVGClipPath,Make,7,yes,real_gap,P3,static sk_sp<SkSVGClipPath> Make() { return sk_sp<SkSVGClipPath>(new SkSVGClipPath()); },Phase 3 later: DOM node factory; defer until node ownership/mutation model is designed
modules/svg,modules/svg/include/SkSVGClipPath.h,SkSVGClipPath,SVG_ATTR,7,no,false_positive,P0,"SVG_ATTR(ClipPathUnits, SkSVGObjectBoundingBoxUnits, SkSVGObjectBoundingBoxUnits(SkSVGObjectBoundingBoxUnits::Type::kUserSpaceOnUse)) private: friend class SkSVGRenderContext;",SVG_ATTR macro expansion is not a standalone public C ABI method
modules/svg,modules/svg/include/SkSVGClipPath.h,SkSVGClipPath,SkSVGClipPath,7,no,false_positive,P0,SkSVGClipPath();,value/node construction is handled through factories or parser-driven DOM loading; direct constructor is not initial C ABI
modules/svg,modules/svg/include/SkSVGClipPath.h,SkSVGClipPath,parseAndSetAttribute,7,no,na,P3,"bool parseAndSetAttribute(const char*, const char*) override;",Phase 3 later/internal: virtual render/parser hook should not be exposed before DOM ownership design
modules/svg,modules/svg/include/SkSVGClipPath.h,SkSVGClipPath,resolveClip,7,no,na,P3,SkPath resolveClip(const SkSVGRenderContext&) const;,Phase 3 later/internal: virtual render/parser hook should not be exposed before DOM ownership design
modules/svg,modules/svg/include/SkSVGContainer.h,SkSVGContainer,appendChild,7,no,real_gap,P3,void appendChild(sk_sp<SkSVGNode>) override;,Phase 3 later: SVG public helper/value API candidate after SkSVGDOM minimum API
